Energy(cm-1),Energy(nm),Abs
28571.428571428572,350.0,6.14295821415e-08
28588.31168831169,349.7933039567528,6.88740232726e-08
28605.194805194806,349.58685190229727,7.72010653505e-08
28622.077922077922,349.3806434048732,8.6512942305e-08 
28638.96103896104,349.1746780337384,9.6923440153e-08 
28655.844155844155,348.9689553591661,1.08559168135e-07
28672.727272727272,348.76347495244136,1.21560965772e-07
28689.610389610392,348.55823638585844,1.36085459938e-07
28706.49350649351,348.353239232718,1.52306787433e-07
28723.376623376626,348.14848306732375,1.70418500131e-07
28740.259740259742,347.94396746497966,1.90635671413e-07
28757.14285714286,347.73969200198707,2.13197224522e-07
28774.025974025975,347.5356562556418,2.38368505456e-07
28790.909090909092,347.3318598042311,2.66444125275e-07
28807.79220779221,347.12830222703093,2.97751099133e-07
28824.675324675325,346.9249831043028,3.32652312015e-07
28841.55844155844,346.7219020172911,3.71550344082e-07
28858.44155844156,346.51905854822013,4.14891691717e-07
28875.324675324675,346.31645228029146,4.63171423871e-07
28892.20779220779,346.11408279768057,5.16938317115e-07
28909.09090909091,345.9119496855346,5.76800516978e-07
28925.97402597403,345.710052529969,6.43431777714e-07
28942.857142857145,345.5083909180651,7.17578337609e-07
28959.74025974026,345.3069644378671,8.00066492362e-07
28976.623376623378,345.1057726783793,8.91810935017e-07
28993.506493506495,344.90481522956327,9.93823937373e-07
29010.38961038961,344.70409168233505,1.10722545484e-06
29027.272727272728,344.5036016285625,1.23325424439e-06
29044.155844155845,344.3033446610624,1.37328009368e-06
29061.03896103896,344.1033203735979,1.52881726834e-06
29077.922077922078,343.9035283608754,1.70153929477e-06
29094.805194805194,343.7039682185422,1.89329520594e-06
29111.68831168831,343.50463954318343,2.10612739022e-06
29128.57142857143,343.3055419323197,2.34229119533e-06
29145.454545454548,343.1066749844042,2.60427645403e-06
29162.337662337664,342.90803829881986,2.89483111277e-06
29179.22077922078,342.7096314758768,3.21698716136e-06
29196.103896103898,342.5114541168097,3.57408907937e-06
29212.987012987014,342.3135058237752,3.96982503431e-06
29229.87012987013,342.1157861998489,4.40826108797e-06
29246.753246753247,341.9182948490231,4.89387868974e-06
29263.636363636364,341.72103137620377,5.43161576088e-06
29280.51948051948,341.5239953872084,6.02691170041e-06
29297.402597402597,341.3271864887628,6.6857566724e-06
29314.285714285714,341.13060428849906,7.41474556614e-06
29331.168831168834,340.93424839495236,8.22113705481e-06
29348.05194805195,340.73811841755906,9.11291821533e-06
