Energy(cm-1),Energy(nm),Abs
28571.428571428572,350.0,5.79921531904e-06
28588.31168831169,349.7933039567528,6.44185271532e-06
28605.194805194806,349.58685190229727,7.15389063549e-06
28622.077922077922,349.3806434048732,7.94261937397e-06
28638.96103896104,349.1746780337384,8.81607251101e-06
28655.844155844155,348.9689553591661,9.78310027164e-06
28672.727272727272,348.76347495244136,1.08534498709e-05
28689.610389610392,348.55823638585844,1.20378534849e-05
28706.49350649351,348.353239232718,1.3348124543e-05 
28723.376623376626,348.14848306732375,1.47972630975e-05
28740.259740259742,347.94396746497966,1.63995710917e-05
28757.14285714286,347.73969200198707,1.81707784205e-05
28774.025974025975,347.5356562556418,2.01281807519e-05
28790.909090909092,347.3318598042311,2.22907901619e-05
28807.79220779221,347.12830222703093,2.46794997277e-05
28824.675324675325,346.9249831043028,2.73172633159e-05
28841.55844155844,346.7219020172911,3.02292919129e-05
28858.44155844156,346.51905854822013,3.34432679548e-05
28875.324675324675,346.31645228029146,3.69895792372e-05
28892.20779220779,346.11408279768057,4.0901574119e-05 
28909.09090909091,345.9119496855346,4.52158398731e-05
28925.97402597403,345.710052529969,4.99725061967e-05
28942.857142857145,345.5083909180651,5.52155760523e-05
28959.74025974026,345.3069644378671,6.09932861967e-05
28976.623376623378,345.1057726783793,6.73584999412e-05
28993.506493506495,344.90481522956327,7.43691348989e-05
29010.38961038961,344.70409168233505,8.20886286944e-05
29027.272727272728,344.5036016285625,9.05864458535e-05
29044.155844155845,344.3033446610624,9.99386293487e-05
29061.03896103896,344.1033203735979,0.000110228400553
29077.922077922078,343.9035283608754,0.000121546811656
29094.805194805194,343.7039682185422,0.000133993454914
29111.68831168831,343.50463954318343,0.000147677233453
29128.57142857143,343.3055419323197,0.00016271719871
29145.454545454548,343.1066749844042,0.000179243460014
29162.337662337664,342.90803829881986,0.000197398172192
29179.22077922078,342.7096314758768,0.000217336607595
29196.103896103898,342.5114541168097,0.000239228319401
29212.987012987014,342.3135058237752,0.000263258403565
29229.87012987013,342.1157861998489,0.000289628867392
29246.753246753247,341.9182948490231,0.000318560113268
29263.636363636364,341.72103137620377,0.000350292546749
29280.51948051948,341.5239953872084,0.000385088318921
29297.402597402597,341.3271864887628,0.000423233213624
29314.285714285714,341.13060428849906,0.000465038691
29331.168831168834,340.93424839495236,0.000510844099606
29348.05194805195,340.73811841755906,0.00056101907027
29364.935064935067,340.5422139666534,0.000615966105822
29381.818181818184,340.3465346534653,0.000676123381866
29398.7012987013,340.15108009011794,0.000741967774859
29415.584415584417,339.9558498896247,0.000814018134919
29432.467532467534,339.76084366588714,0.00089283882206
29449.35064935065,339.566061033692,0.000979043525865
29466.233766233767,339.3715016087091,0.00107329939004
29483.116883116883,339.1771650074883,0.00117633146478
29500.0,338.9830508474576,0.00128892751155
29516.883116883117,338.7891587469201,0.00141194318646
29533.766233766233,338.5954883250517,0.00154630763047
29550.64935064935,338.40203920189856,0.00169302949631
29567.53246753247,338.2088109983748,0.00185320344428
29584.415584415587,338.01580333625986,0.00202801714124
29601.298701298703,337.82301583819594,0.00221875879927
29618.18181818182,337.63044812768567,0.0024268252932
29635.064935064936,337.43809982908977,0.00265373089861
29651.948051948053,337.2459705676244,0.00290111669476
29668.83116883117,337.0540599693587,0.00317076067986
29685.714285714286,336.8623676612127,0.00346458864924
29702.597402597403,336.6708932709545,0.00378468589011
29719.48051948052,336.47963642719805,0.00413330975031
29736.363636363636,336.2885967594008,0.00451290314205
29753.246753246756,336.09777389786115,0.00492610904552
29770.129870129873,335.9071674737163,0.00537578608139
29787.01298701299,335.7167771189396,0.00586502522569
29803.896103896106,335.5266024663384,0.00639716774501
29820.779220779223,335.33664314955143,0.00697582443504
29837.66233766234,335.1468988030468,0.00760489625029
29854.545454545456,334.95736906211937,0.00828859641869
29871.428571428572,334.76805356288855,0.00903147414005
29888.31168831169,334.578951942296,0.00983843997364
29905.194805194806,334.3900638381031,0.0107147930265
29922.077922077922,334.2013888888889,0.0116662500607
29938.96103896104,334.01292673404765,0.0126989766442
29955.844155844155,333.8246770137865,0.0138196204796
29972.727272727272,333.63663936912343,0.0150353470486
29989.61038961039,333.4488134418846,0.0163538777231
30006.49350649351,333.2611988747024,0.0177835304992
30023.376623376626,333.07379531101304,0.0193332635191
30040.259740259742,332.88660239505424,0.0210127215587
30057.14285714286,332.6996197718631,0.0228322856639
30074.025974025975,332.5128470872738,0.0248031261333
30090.909090909092,332.3262839879154,0.026937259053
30107.79220779221,332.1399301212095,0.0292476066007
30124.675324675325,331.95378513536815,0.0317480613514
30141.55844155844,331.7678486793916,0.0344535548236
30158.44155844156,331.5821204030661,0.0373801305243
30175.324675324675,331.3965999569615,0.0405450217593
30192.207792207795,331.21128699242945,0.0439667344929
30209.09090909091,331.02618116160096,0.0476651355544
30225.97402597403,330.8412821173842,0.0516615465036
30242.857142857145,330.65658951346245,0.0559788434854
30259.74025974026,330.47210300429185,0.0606415634186
30276.623376623378,330.2878222450993,0.0656760168811
30293.506493506495,330.1037468918803,0.0711104080736
30310.38961038961,329.91987660139677,0.0769749622615
30327.272727272728,329.73621103117506,0.083302061112
30344.155844155845,329.5527498395035,0.0901263863688
30361.03896103896,329.36949268543077,0.0974850723217
30377.922077922078,329.1864392287632,0.105417867555
30394.805194805194,329.00358913006323,0.113967306476
30411.68831168831,328.820942050647,0.123178891157
30428.57142857143,328.63849765258215,0.13310128403
30445.454545454548,328.45625559868614,0.143786512031
30462.337662337664,328.27421555252386,0.155290182767
30479.22077922078,328.0923771784055,0.167671713362
30496.103896103898,327.91074014138485,0.180994572618
30512.987012987014,327.72930410725684,0.195326537183
30529.87012987013,327.5480687425557,0.210739962433
30546.753246753247,327.367033714553,0.227312068812
30563.636363636364,327.1861986912552,0.245125244405
30580.51948051948,327.0055633414023,0.264267364534
30597.402597402597,326.8251273344652,0.284832129229
30614.285714285714,326.64489034064394,0.306919419429
30631.168831168834,326.46485203086576,0.330635672814
30648.05194805195,326.2850120767829,0.35609428021
30664.935064935067,326.1053701507708,0.383416003526
30681.818181818184,325.9259259259259,0.412729416238
30698.7012987013,325.74667907606397,0.444171367453
30715.584415584417,325.5676292757177,0.477887470632
30732.467532467534,325.3887762001352,0.514032618086
30749.35064935065,325.21011952527766,0.552771522397
30766.233766233767,325.03165892781766,0.59427928596
30783.116883116883,324.8533940851369,0.638741999858
30800.0,324.6753246753247,0.686357373356
30816.883116883117,324.4974503771756,0.737335395306
30833.766233766233,324.3197708701879,0.791899028816
30850.649350649353,324.1422858345611,0.850284940561
30867.53246753247,323.96499495119485,0.91274426617
30884.415584415587,323.7878979016862,0.979543413137
30901.298701298703,323.61099436832814,1.05096490277
30918.18181818182,323.4342840341076,1.12730825273
30935.064935064936,323.2577665827036,1.20889090167
30951.948051948053,323.08144169848526,1.29604917773
30968.83116883117,322.9053090665101,1.38913931241
30985.714285714286,322.7293683725219,1.4885385015
31002.597402597403,322.5536193029491,1.59464601502
31019.48051948052,322.37806154490266,1.70788435754
31036.363636363636,322.20269478617456,1.82870048113
31053.246753246753,322.02751871523566,1.95756705234
31070.129870129873,321.85253302123385,2.09498377537
31087.01298701299,321.6777373939925,2.2414787732
31103.896103896106,321.5031315240083,2.39761002855
31120.779220779223,321.32871510244956,2.5639668867
31137.66233766234,321.1544878211545,2.74117162204
31154.545454545456,320.9804493726291,2.92988107044
31171.428571428572,320.80659945004584,3.13078832929
31188.31168831169,320.6329377472413,3.34462452736
31205.194805194806,320.4594639587148,3.57216066638
31222.077922077922,320.2861777796265,3.81420953652
31238.96103896104,320.1130789057953,4.07162770755
31255.844155844155,319.9401670336976,4.34531759804
31272.727272727272,319.7674418604651,4.63622962433
31289.610389610392,319.59490308388325,4.94536443144
31306.49350649351,319.42255040238945,5.27377520791
31323.376623376626,319.25038351507106,5.62257008653
31340.259740259742,319.07840212166417,5.99291463286
31357.14285714286,318.90660592255125,6.38603442359
31374.025974025975,318.7349946187598,6.80321771656
31390.909090909092,318.5635679119606,7.24581821423
31407.79220779221,318.39232550446576,7.71525792253
31424.675324675325,318.2212670992272,8.21303010673
31441.55844155844,318.0503923998348,8.740702346
31458.44155844156,317.8797011105148,9.29991968836
31475.324675324675,317.7091929361281,9.89240790745
31492.207792207795,317.5388675821683,10.5199768626
31509.09090909091,317.3687247547605,11.1845239634
31525.97402597403,317.1987641606591,11.8880377405
31542.857142857145,317.0289855072464,12.632601523
31559.74025974026,316.85938850253075,13.4203972237
31576.623376623378,316.6899728551452,14.253709234
31593.506493506495,316.5207382743454,15.1349284273
31610.38961038961,316.3516844700082,16.0665562731
31627.272727272728,316.18281115263005,17.0512090617
31644.155844155845,316.01411803332513,18.0916222391
31661.03896103896,315.8456048238238,19.1906548531
31677.922077922078,315.677271236471,20.3512941097
31694.805194805194,315.50911698422453,21.5766600399
31711.68831168831,315.34114178065363,22.8700102759
31728.57142857143,315.17334533993693,24.2347449358
31745.454545454548,315.0057273768614,25.6744116165
31762.337662337664,314.83828760682013,27.1927104922
31779.22077922078,314.67102574581116,28.7934995182
31796.103896103898,314.5039415104358,30.4807997365
31812.987012987014,314.3370346178968,32.2588006829
31829.87012987013,314.17030478599696,34.1318658911
31846.753246753247,314.00375173313756,36.1045384927
31863.636363636364,313.8373751783167,38.181546908
31880.51948051948,313.6711748411276,40.3678106262
31897.402597402597,313.5051504417573,42.6684460696
31914.285714285714,313.3393017009848,45.0887725371
31931.168831168834,313.17362834017973,47.6343182242
31948.05194805195,313.0081300813008,50.3108263125
31964.935064935067,312.8428066468939,53.1242611243
31981.818181818184,312.67765776009094,56.0808143354
31998.7012987013,312.5126831446081,59.1869112413
32015.584415584417,312.3478825247444,62.4492170678
32032.467532467534,312.18325562538007,65.8746433203
32049.35064935065,312.01880217197504,69.4703541638
32066.233766233767,311.8545218905674,73.2437728247
32083.116883116883,311.690414507772,77.2025880058
32100.0,311.52647975077883,81.3547603058
32116.883116883117,311.3627173473514,85.7085286329
32133.766233766233,311.1991270258255,90.2724166028
32150.649350649353,311.03570851510744,95.055238909
32167.53246753247,310.8724615446728,100.066107656
32184.415584415587,310.70938584456457,105.314438642
32201.298701298703,310.5464811453922,110.809957579
32218.18181818182,310.38374717832954,116.562706237
32235.064935064936,310.2211836751138,122.583048501
32251.948051948053,310.0587903680438,128.881676323
32268.83116883117,309.8965669899787,135.469615558
32285.714285714286,309.7345132743363,142.358231664
32302.597402597403,309.5726289550919,149.55923526
32319.48051948052,309.4109137667765,157.084687511
32336.363636363636,309.2493674444757,164.94700534
32353.246753246753,309.0879897238279,173.158966435
32370.129870129873,308.92678034102306,181.733714043
32387.01298701299,308.7657390328013,190.684761527
32403.896103896106,308.6048655364514,200.025996674
32420.779220779223,308.4441595898093,209.771685724
32437.66233766234,308.28362093125673,219.936477114
32454.545454545456,308.1232492997199,230.535404903
32471.428571428572,307.96304443466784,241.583891871
32488.31168831169,307.8030060761113,253.097752257
32505.194805194806,307.6431339646011,265.09319413
32522.077922077922,307.4834278412267,277.586821356
32538.96103896104,307.3238874476152,290.595635154
32555.844155844155,307.16451252592947,304.137035205
32572.727272727272,307.0053028188669,318.228820306
32589.610389610392,306.84625806965806,332.889188528
32606.49350649351,306.68737802206556,348.136736877
32623.376623376626,306.52866242038215,363.990460417
32640.259740259742,306.3701110094298,380.46975084
32657.14285714286,306.2117235345582,397.594394464
32674.025974025975,306.0534997416431,415.384569623
32690.909090909092,305.89543937708567,433.860843441
32707.79220779221,305.7375421878102,453.044167955
32724.675324675325,305.5798079212636,472.955875575
32741.55844155844,305.4222363254135,493.617673849
32758.44155844156,305.2648271487472,515.051639517
32775.32467532468,305.1075801402702,537.280211826
32792.207792207795,304.9504950495049,560.326185095
32809.09090909091,304.7935716264893,584.212700497
32825.97402597403,304.63680962177557,608.963237045
32842.857142857145,304.4802087864289,634.601601762
32859.74025974026,304.32376887202594,661.151919006
32876.62337662338,304.16748963065373,688.638618952
32893.506493506495,304.0113708149084,717.086425183
32910.38961038961,303.8554121778935,746.520341409
32927.27272727273,303.6996134732192,776.965637263
32944.155844155845,303.5439744550006,808.447833183
32961.03896103896,303.3884948778566,840.992684361
32977.92207792208,303.2331744969086,874.626163733
32994.805194805194,303.0780130677793,909.374444019
33011.68831168831,302.9230103465911,945.263878786
33028.57142857143,302.7681660899654,982.320982533
33045.454545454544,302.61348005502066,1020.57240979
33062.33766233766,302.45895199937155,1060.04493323
33079.22077922078,302.30458168112756,1100.76542075
33096.103896103894,302.15036885889185,1142.76081161
33112.98701298701,301.99631329175986,1186.05809153
33129.870129870134,301.84241473931786,1230.68426679
33146.75324675325,301.6886729616424,1276.66633731
33163.63636363637,301.5350877192982,1324.03126883
33180.519480519484,301.38165877333745,1372.80596397
33197.4025974026,301.22838588529845,1423.01723241
33214.28571428572,301.0752688172043,1474.69176009
33231.168831168834,300.9223073315616,1527.85607739
33248.05194805195,300.76950119135967,1582.53652644
33264.93506493507,300.6168501600687,1638.75922752
33281.818181818184,300.46435400163887,1696.55004448
33298.7012987013,300.3120124804992,1755.93454933
33315.58441558442,300.15982536155616,1816.93798601
33332.46753246753,300.00779241019245,1879.58523325
33349.35064935065,299.855913392266,1943.90076672
33366.23376623377,299.7041880741087,2009.90862031
